object_name,feature_extraction_model_name,feature_extraction_initialization,augmented,feature_extraction_layer,feature_extraction_shape,model_name,hyperparameter,auroc,train_time,test_inference_time
carpet,resnet18,imagenet1k_v1,True,layer3,"[1680, 50176]",sklearn.neighbors.KernelDensity,"{'bandwidth': 'silverman', 'kernel': 'exponential'}",0.9357945425361156,3.035722017288208,12.77323055267334
carpet,resnet18,imagenet1k_v1,True,layer3,"[1680, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 40},0.9349919743178171,2.1347744464874268,0.45725083351135254
carpet,resnet18,imagenet1k_v1,True,layer3,"[1680, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 20},0.9345906902086678,2.1304702758789062,0.3828620910644531
grid,vit_base_16,random,True,layer2,"[1584, 151296]",sklearn.svm.OneClassSVM,"{'degree': 5, 'kernel': 'poly'}",0.9615705931495405,72.93914437294006,3.37597393989563
grid,vit_base_32,random,True,layer2,"[1584, 38400]",sklearn.svm.OneClassSVM,"{'degree': 5, 'kernel': 'poly'}",0.9607351712614871,15.568218231201172,0.728492021560669
grid,vit_base_16,random,True,layer1,"[1584, 151296]",sklearn.svm.OneClassSVM,"{'degree': 5, 'kernel': 'poly'}",0.960735171261487,73.18529653549194,3.4304587841033936
grid,vit_base_32,random,True,layer1,"[1584, 38400]",sklearn.svm.OneClassSVM,"{'degree': 5, 'kernel': 'poly'}",0.9598997493734336,15.738980293273926,0.7495999336242676
grid,vit_base_32,random,True,layer3,"[1584, 38400]",sklearn.svm.OneClassSVM,"{'degree': 8, 'kernel': 'poly'}",0.9565580618212197,16.37350869178772,0.7988221645355225
grid,vit_base_32,random,True,layer2,"[1584, 38400]",sklearn.svm.OneClassSVM,"{'degree': 8, 'kernel': 'poly'}",0.9515455304928989,16.4782555103302,0.8093681335449219
grid,vit_base_16,random,True,layer3,"[1584, 151296]",sklearn.svm.OneClassSVM,"{'degree': 5, 'kernel': 'poly'}",0.9515455304928988,71.84668374061584,3.2776591777801514
grid,vit_base_32,random,True,layer3,"[1584, 38400]",sklearn.svm.OneClassSVM,"{'degree': 5, 'kernel': 'poly'}",0.9482038429406849,15.407411813735962,0.7084650993347168
grid,vit_base_16,random,True,layer3,"[1584, 151296]",sklearn.svm.OneClassSVM,"{'degree': 8, 'kernel': 'poly'}",0.9440267335004178,76.33925127983093,3.6708717346191406
grid,vit_base_16,random,False,layer0,"[264, 151296]",sklearn.svm.OneClassSVM,{'kernel': 'linear'},0.9440267335004177,2.075021266937256,0.4996309280395508
hazelnut,resnet50,imagenet1k_v2,True,layer3,"[2346, 200704]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},0.9925,15.418441772460938,2.273585081100464
hazelnut,resnet50,imagenet1k_v2,True,layer3,"[2346, 200704]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 8},0.9907142857142857,15.375542640686035,2.263352394104004
hazelnut,resnet50,imagenet1k_v2,True,layer3,"[2346, 200704]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 12},0.99,15.471448421478271,2.2831387519836426
hazelnut,resnet18,imagenet1k_v1,True,layer3,"[2346, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},0.9889285714285715,4.018813133239746,0.5728776454925537
hazelnut,resnet18,imagenet1k_v1,True,layer3,"[2346, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 12},0.9889285714285715,4.011024475097656,0.5035252571105957
hazelnut,resnet18,imagenet1k_v1,True,layer4,"[2346, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},0.9885714285714287,2.1345958709716797,0.23885369300842285
hazelnut,resnet18,imagenet1k_v1,True,layer3,"[2346, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 8},0.9885714285714285,4.019018888473511,0.5298292636871338
hazelnut,resnet18,imagenet1k_v1,True,layer3,"[2346, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 20},0.9885714285714285,4.013154745101929,0.5322997570037842
hazelnut,resnet50,imagenet1k_v2,True,layer3,"[2346, 200704]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 16},0.9885714285714285,15.401372909545898,2.2392046451568604
hazelnut,resnet18,imagenet1k_v1,True,layer3,"[2346, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 16},0.9882142857142857,4.0241851806640625,0.5345497131347656
leather,resnet50,imagenet1k_v2,True,layer4,"[1470, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 20},0.9921875,3.2940685749053955,0.9947731494903564
leather,resnet50,imagenet1k_v2,True,layer4,"[1470, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 24},0.9921875,3.3347015380859375,1.0192234516143799
leather,resnet50,imagenet1k_v2,False,layer4,"[245, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 16},0.9918478260869565,0.8515088558197021,0.8059115409851074
leather,resnet50,imagenet1k_v2,True,layer4,"[1470, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 16},0.9918478260869565,3.281182289123535,0.9570522308349609
leather,resnet50,imagenet1k_v2,True,layer4,"[1470, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 28},0.9918478260869565,3.3119215965270996,0.961756706237793
leather,resnet50,imagenet1k_v2,True,layer4,"[1470, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 32},0.9918478260869565,3.3572795391082764,0.9944231510162354
leather,resnet50,imagenet1k_v2,False,layer4,"[245, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 24},0.991508152173913,0.8594214916229248,0.8152222633361816
leather,resnet50,imagenet1k_v2,True,layer4,"[1470, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 40},0.991508152173913,3.3110737800598145,0.9982883930206299
leather,resnet50,imagenet1k_v2,False,layer4,"[245, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 20},0.9911684782608695,0.8738467693328857,0.7999210357666016
